file_name,number,title,date,author,publisher
bpt6k55466808	31	La France à Champigny : épisode dramatique en vers / Antonius Adam	1879	Adam, Antonius. Auteur du texte	Vve Renou, Maulde et Cock (Paris)
bpt6k42231960	32	Le Serment de Madeleine, opéra-comique en 1 acte, par Antonius Adam,...	1883	Adam, Antonius. Auteur du texte	L. Duc (Lyon)
bpt6k5828983b	33	Oeuvres complètes de Mme Adam (Juliette Lamber). XXI, Mon petit théâtre : le temps nouveau, Mourir, Coupable, Fleurs piquées, Galatée	1896	Adam, Juliette (1836-1936). Auteur du texte	G. Havard fils (Paris)
bpt6k3046030p	34	Dans un passage : comédie en un acte, mêlée de chant / par M. Ernest Adam	1867	Adam, Ernest. Auteur du texte	librairie des auteurs (Paris)
bpt6k42231945	35	Maître Wolff, comédie en 1 acte et en prose, par Mme Adam-Boisgontier. (Paris, Odéon, 7 septembre 1858.)	1858	Adam-Boisgontier, Elisa (1819-1876). Auteur du texte	Librairie théâtrale (Paris)
bpt6k882110r	36	Nouveau théâtre des demoiselles / par Mme Élisa Boisgontier	1851	Adam-Boisgontier, Elisa (1819-1876). Auteur du texte	Fonteney et Peltier (Paris)
bpt6k3058399m	37	Caton tragedie . Par M. Addison. Traduite de l'anglois par M. A. Boyer	1713	Addison, Joseph (1672-1719). Auteur du texte	J. Tonson (Londres)
bpt6k97455850	38	Caton d'Utique , tragédie de M. Addisson, traduite de l'anglois par M. Guillemard, écrivain de la marine & des classes, secrétaire de l'intendance de marine en Bretagne.	1767	Addison, Joseph (1672-1719). Auteur du texte	A Brest, chez R. Malassis, imprimeur ordinaire du Roi & de la Marine. Et se vend a Paris, chez Durand, libraire, rue St. Jacques, à la Sagesse. M. DCC. LXVII. Avec approbation
bpt6k9618603b	39	Caton d'Utique, tragédie en 3 actes, imitée de l'anglais (d'Addison), par Ed. Mennechet	1815	Addison, Joseph (1672-1719). Auteur du texte	Delaunay (Paris)
bpt6k9749879j	40	La prétendue veuve, ou L'époux magicien , comédie en cinq actes, traduite de l'anglais de feu Mr Adisson [sic] et mise en vers, par M. D* D*	1737		Bauche (Paris) ¤ Le Breton (Paris) ¤ Gissey [etc.] (Paris)
bpt6k4223182z	41	Une Imprudence, comédie en un acte, par Adel-Dagus	1870	Adel Dagus. Auteur du texte	impr. de Dufour (Paris)
bd6t54193616c	42	Mon Premier Bal, monologue en vers / Édouard Adenis	1892	Adenis, Édouard (1867-1952). Auteur du texte	A. Hennuyer (Paris)
bpt6k9752161j	43	Les deux saisons : comédie en un acte, en vers / par Eugène Adenis	1880	Adenis, Eugène (1854-1923). Auteur du texte	Tresse (Paris)
bpt6k3063861m	44	Diogène et Scapin : à-propos en vers représenté à la Comédie-Française, le 15 janvier 1880, à l'occasion du 258e anniversaire de la naissance de Molière / Eugène Adenis	1880	Adenis, Eugène (1854-1923). Auteur du texte	Tresse (Paris)
