Relation	Catalogue ARK	Repository	Shelfmark	Title	Language	Creator	Date	Digitised by	Source images	Metadata Source	Format	Type	Gallica
http://catalogue.bnf.fr/ark:/12148/cb38651168p	ark:/12148/cb38651168p	Bibliothèque nationale de France	Bibliothèque nationale de France, département Arts du spectacle, RESERVE 8-RF-3481	Le bourgeois gentilhomme. Comedie-ballet. Faite à Chambort, pour le divertissement du Roy. Par J. B. P. Moliere	français	Molière	1671	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k3209399	108 p. ; in-12	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k3209399
http://catalogue.bnf.fr/ark:/12148/cb31188006b	ark:/12148/cb31188006b	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, 8-YTH-16358	La Sérénade , comédie	français	Regnard, Jean-François	1695	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k4222962n	[4]-56 p. ; in-12	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k4222962n
http://catalogue.bnf.fr/ark:/12148/cb30232122d	ark:/12148/cb30232122d	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, 8-YTH-11324	Le Martyre de saint Gervais, poème dramatique, par M. F. de Cheffault,...	français	Cheffault, F	1685	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k4223000r	In-12, 83 p.	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k4223000r
http://catalogue.bnf.fr/ark:/12148/cb333998356	ark:/12148/cb333998356	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, 8-YTH-7778	Gallie, opéra, ornée d'entrées de ballet, de machines et de changements de théâtre	français		1691	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k4223002k	In-12. Pièce	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k4223002k
http://catalogue.bnf.fr/ark:/12148/cb30809859s	ark:/12148/cb30809859s	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, YF-463	Aristotime , tragédie	français	Le Vert	1642	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5448626v	[5]-106 p. ; in-4	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5448626v
http://catalogue.bnf.fr/ark:/12148/cb30506057n	ark:/12148/cb30506057n	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, YF-624	Téléphonte , tragi-comédie, représenté par les deux trouppes royalles	français	Gilbert, Gabriel	1643	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5448678k	[6]-98 p. ; in-4	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5448678k
http://catalogue.bnf.fr/ark:/12148/cb31164612j	ark:/12148/cb31164612j	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, YF-686	Atys , tragedie en musique. Ornée d'entrées de ballet, de machines, &amp; de changements de theatre. Representée devant Sa Majesté à Saint Germain en Laye, le dixiéme jour de janvier 1676	français	Quinault, Philippe	1676	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5448680n	[10]-70 [i.e. 80] p.-[1] f. de pl. : ill. ; in-4	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5448680n
http://catalogue.bnf.fr/ark:/12148/cb312519598	ark:/12148/cb312519598	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, YF-431	Le veritable St Genest, tragedie de Mr de Rotrou.	français	Rotrou, Jean de	1648	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5449300w	[4]-104 p. ; in-4	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5449300w
http://catalogue.bnf.fr/ark:/12148/cb31164637w	ark:/12148/cb31164637w	Bibliothèque nationale de France	Bibliothèque nationale de France, département Réserve des livres rares, RES-YF-1878	Cadmus et Hermione . Tragedie. Representée par l'Academie royale de musique.	français	Quinault, Philippe	1674	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5453658j	[8]-68 p. ; in-4	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5453658j
http://catalogue.bnf.fr/ark:/12148/cb302218895	ark:/12148/cb302218895	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, YF-703	Coronis , pastorale héroïque, représentée par l'Académie royale de musique, le 23e mars 1691	français	Chappuzeau de Baugé, Daniel-Paul	1691	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5455471b	45 p. ; in-4	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5455471b
